uid,summary
id_2000-AGENDA_1,제성군의회 제235회 제1차 정례회 제1차 본회의 개의 선포.
id_2000-AGENDA_2,음성군의회 제235회 제1차 정례회 회기는 2012년 6월 21일부터 6월 28일까지 8일간으로 가결됨.
id_2000-AGENDA_3,"제235회 제1차 정례회 회의록 서명의원으로 조천희 의원, 손달섭 의원이 선출됨."
id_2000-AGENDA_4,"예산결산특별위원회위원은 손수종 의원, 이한철 의원, 남궁유 의원, 조천희 의원, 손달섭 의원, 이대웅 의원, 김순옥 의원으로 구성함. 특별위원회는 6월 25일 하루간 2011년도 예비비 지출"
id_2000-AGENDA_5,환경3년도 제1차 정례회 제1차 본회의를 맞이하여 음성군 환경분야 현지확인을 발의하여 제안됨. 해당 안건은 가결됨.
id_2000-AGENDA_6,주요사업 현지확인 결과보고의 건은 채택됨.
id_2001-AGENDA_1,제332회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2001-AGENDA_2,제222회 음성군의회 회기는 4월 22일부터 4월 27일까지 6일간으로 가결됨.
id_2001-AGENDA_3,제332회 음성군의회 임시회 회의록 서명의원으로 김영섭 부의장과 김영호 의원이 선출됨.
id_2001-AGENDA_4,"2020년도 제1회 세입, 세출 추가경정예산안 및 기금운용계획 변경안 제안설명."
id_2001-AGENDA_5,"예산2대 예산결산특별위원회위원은 김영섭 부의장, 안해성 의원, 서효석 의원, 서형석 의원, 김영호 의원, 최용락 의원, 임옥순 의원으로 구성함. 특별위원회는 4월 22일부터 4월 27"
id_2001-AGENDA_6,"어해의 한자어 기획정비에 따른 음성군 건축물관리자의 제설, 제빙 책임에 관한 조례 등 일부개정조례안은 우리 자치법규에 어려운 한자어나 일본식으로 표기된 용어를 우리"
id_2001-AGENDA_7,음성군 군세 감면 조례 일부개정조례안은 <지방세특례제한법> 및 동법 시행령의 개정사항을 반영하여 음성군 군세 감면 조례를 일부 개정하고자 제정됨. 해당 안건은 가결
id_2001-AGENDA_8,음성군 건축 조례 일부개정조례안은 <건축법>개정에 따른 위임사무와 음성군 건축 조례에 따른 건축업무 수행 중 일부 미비점을 현실에 맞도록 개선 및 보완하고 그 시행에 필요한 사항을
id_2001-AGENDA_9,2020년 수시분 공유재산 관리계획안은 <공유재산 및 물품 관리법>제10조제3항 및 동법 시행령 제7조에 따라 음성군의회의 의결을 얻고자 제안됨. 해당 안건은 가
id_2001-AGENDA_10,공립어린이집 민간위탁(신규) 동의안은 신규설치 예정인 공립어린이집에 대해 민간위탁체를 선정하여 어린이집을 보다 효율적으로 운영하고자 동의를 구함. 해당 안건은 가결됨. 공립
id_2001-AGENDA_11,4월 23일부터 24일까지 휴회가 가결됨. 제2차 본회의는 4월 27일 오전 10시에 개의.
id_2002-AGENDA_1,제296회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2002-AGENDA_2,한동완 의원은 음성지역 발전을 위하여 수고가 많으신 이필용 군수님과 공직자 여러분의 노고에도 감사를 표함. 맹동면 정욱리싸이클링 폐기물처리업체 건축허가 취소의
id_2002-AGENDA_3,제296회 음성군의회 임시회 회기는 2월 12일 하루로 가결됨.
id_2002-AGENDA_4,"제296회 임시회 회의록 서명의원으로 남궁유 의원, 우성수 의원이 선출됨."
id_2002-AGENDA_5,음성군 사회복지협의회 지원 조례안은 음성군 사회복지협의회가 지역사회 복지증진에 기여하고 업무를 효율적으로 수행할 수 있도록 지원에 필요한 사항을 제정하고자 제정되었음. 해당 안건은 가결됨.
id_2002-AGENDA_6,음성군 사회복지사 등의 처우 및 지위 향상에 관한 조례안은 사회복지사 등에 대한 처우를 개선하고 신분 보장을 강화하여 그 지위를 향상하도록 지원하고자 제정되었음. 해당 안건은 가결됨.
id_2002-AGENDA_7,정월리싸이클링에 대한 행정사무조사 계획서 승인의 건은 가결됨.
id_2002-AGENDA_8,"충북혁신도시 내 <소방복합치유센터>유치 건의안은 정부 정책인 혁신도시 활성화와 의료사각지대 해소, 전국적인 교통 접근성을 갖추고 있는 충북혁신도시에 소방가족의 염원인 소방복합치"
id_2002-AGENDA_9,"음성군 맹동면 및 진천군 덕산면 택시공동사업구역 확대 지정 촉구 건의안은 음성군 맹동면과 진천군 덕산면 지역 전체에 대해 택시공동사업구역 지정이 절실하여 제안하였으며, 해당"
id_2002-AGENDA_10,음성군 청렴이행 서약제 운영 조례 일부개정조례안은 공공계약과 관련하여 공직자가 계약 체결을 매개로 민간에 부당한 청탁을 할 가능성을 사전에 방지하기 위해서 청렴이행서약서에 부정한 취업
id_2002-AGENDA_11,음성군 참전유공자 지원 조례 일부개정조례안은 참전유공자와 그 유족에게 합당한 예우를 하기 위하여 참전명예수당을 매월 10만원으로 인상하여 지급하고 참전유공자가
id_2002-AGENDA_12,2018년도 수시분 공유재산 관리계획안 제안 설명.
id_2002-AGENDA_13,음성군 공동주택관리 조례 일부개정조례안은 음성군 공동주택관리 조례에 따른 공동주택관리비용 지원 과정에서 나타난 일부 미비점을 현실에 맞도록 개선 및 보완하고 공동주택을 체계적 및 효율적으로 관리하고자
id_2003-AGENDA_1,제27회 완주군의회 임시회 제1차 본회의 개의 선포.
id_2003-AGENDA_2,제72회 완주군의회 임시회 회기는 11월 12일부터 11월 16일까지 5일간으로 가결됨.
id_2003-AGENDA_3,"행정주군의회행정사무감사특별위원회위원은 이희창 의원, 안성근 의원, 소학영 의원, 함정구 의원, 이석환 의원, 홍의환 의원, 김영석 의원, 소병래 의원, 조정석 의원, 박용규 의원, 남대일"
id_2003-AGENDA_4,11월 13일부터 11월 15일까지 3일간 휴회가 가결됨.
id_2003-AGENDA_5,제72회 완주군의회 임시회 회의록 서명의원으로 조정석 의원과 이진철 의원이 선임됨.
id_2004-AGENDA_1,"제장 선거는 총 투표수 9표 중에서 최관식 의원, 남궁유 의원, 김우식 의원, 김성채 의원, 박희남 의원, 진의장 의원, 이준구 의원, 김천봉 의원, 고재협 의원으로 구성함."
id_2004-AGENDA_2,제76회 음성군의회 임시회 회기는 7월 10일부터 7월 15일까지 6일간으로 가결됨.
id_2004-AGENDA_3,제76회 음성군의회 임시회 제1차 본회의록 서명의원으로 고재협 의원과 김성채 의원이 선출됨.
id_2004-AGENDA_4,제76회 제2차 본회의는 7월 13일 오전 10시에 개의.
id_2005-AGENDA_1,제129회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2005-AGENDA_2,제129회 음성군의회 임시회 회기는 6월 10일부터 6월 17일까지 8일간으로 가결됨.
id_2005-AGENDA_3,제129회 임시회 회의록 서명의원으로 정지태 의원과 이한철 의원이 선출됨.
id_2005-AGENDA_4,"이월사업 및 주요사업현지확인특별위원회 구성하고자 함. 특별위원회는 2002년도 이월사업장, 2003년도 주요사업 현지확인 특별위원회 구성함. 특별위원회는 6월 11일부터 6월 17일까지 7일간 2002년도 이월"
id_2005-AGENDA_5,음성군 표준정원제재산정건의안은 행정자치부에서 시행한 공무원표준정원제가 타 자치단체에 비해 지역 여건 및 통계를 전혀 고려하지 않은 실정으로 타 자치단체에 비하여 매우 불합리하고 형평성이 결
id_2005-AGENDA_6,제129회 임시회 휴회의 건은 회기 중 이월사업 및 주요사업현지확인특별위원회 활동을 하는 의사일정으로 갈음함.
id_2006-AGENDA_1,제323회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2006-AGENDA_2,제323회 음성군의회 임시회 회기는 5월 19일부터 5월 22일까지 4일간으로 가결됨.
id_2006-AGENDA_3,"제323회 음성군의회 임시회 회의록 서명의원으로 서형석 의원, 서효석 의원이 선출됨."
id_2006-AGENDA_4,"주요사업 현지확인 특별위원회위원은 김영섭 부의장, 안해성 의원, 서효석 의원, 서형석 의원, 김영호 의원, 최용락 의원, 임옥순 의원으로 구성함. 특별위원회는 5월 19일부터 5월 22일까지"
id_2006-AGENDA_5,음성군의회 의원 윤리강령 및 행동강령 조례 일부개정조례안은 지방의회의원 행동강령이 개정됨에 따라 제도의 통일성 있는 운영을 위해 해당 내용을 반영하여 필요한 사항을 개정하고자 제정되었음. 해당
id_2006-AGENDA_6,음성군 재정안정화기금 설치 및 운용 조례안은 회계연도 간의 재정수입 불균형을 조정하고 경기 불확실성에 대비한 자금 비축으로 재정운용의 안정을 도모하고자 제정되었음. 해당 안건은 가결
id_2006-AGENDA_7,음성군 사무의 민간위탁 촉진 및 관리 조례 전부개정조례안은 국민권익위원회 권고에 따라 민간위탁 사무의 공정성과 투명성을 확보하고자 제정되었음. 해당 안건은 가결됨.
id_2006-AGENDA_8,음성군 마을세무사 운영에 관한 조례안은 마을세무사 운영의 제도적 근거 마련을 통해 세무사 이용이 어려운 영세사업자 및 취약계층의 군민들에게 체계적이고 지속적인 상담운영 서비스 제공을 위해 필요한
id_2006-AGENDA_9,"음성군 산학융합지구 활성화 지원 조례안은 충북혁신도시 산학융합지구 지정 등 산업 활성화 육성관리 및 지원, 산학융합형 인력양성 및 운영에 필요한 사항을 정하여 산학융합지구 활성화를 도모하고자 제정되었음. 해당"
id_2006-AGENDA_10,음성군 보도구역 내 횡단차도 설치에 관한 조례 폐지조례안은 <도로법>과 <음성군 도로복구 원인자부담금 징수 조례>의 규정과 중복되어 따로 규정할 실
id_2006-AGENDA_11,2020년도 수시분 공유재산 관리계획안 제안설명.
id_2006-AGENDA_12,"중부내륙철도 지선(중부선) 연결 제4차 국가철도망 구축 건의안은 대한민국 중부권 성장을 견인할 강력한 인프라사업으로 충북혁신도시와 내륙 간 철도 네트워크를 최소 사업비로 건설이 가능하며, 대한민국 중심의"
id_2006-AGENDA_13,5월 20일부터 5월 22일까지 휴회가 가결됨.
id_2007-AGENDA_1,제43회 청주시의회(임시회) 제1차 본회의 개의 선포.
id_2007-AGENDA_2,복지교육위원회 김영근 의원은 청주시의회 의정회의에서 노무현 전 대통령 추모비 설치가 청주시의회 반대로 무산됨.
id_2007-AGENDA_3,제43회 청주시의회(임시회) 회기는 5월 22일부터 5월 28일까지 7일간으로 가결됨.
id_2007-AGENDA_4,5월 27일 시정질문을 위한 청주시장 및 관계공무원 출석을 요구하여 가결됨.
id_2007-AGENDA_5,5월 23일부터 5월 26일까지 4일간 휴회가 가결됨. 제2차 본회의는 5월 27일 오전 10시에 개의.
id_2009-AGENDA_1,제235회 완주군의회 제2차 정례회 제1차 본회의 개의 선포.
id_2009-AGENDA_2,제235회 완주군의회 제2차 정례회 회기는 11월 20일부터 12월 14일까지 25일간으로 가결됨.
id_2009-AGENDA_3,제235회 완주군의회 제2차 정례회 회의록 서명의원으로 서남용 의원과 임귀현 의원이 선출됨.
id_2009-AGENDA_4,제월주군수 및 관계공무원 출석을 요구하여 가결됨.
id_2009-AGENDA_5,11월 21일부터 11월 29일까지 9일간 휴회가 가결됨. 제2차 본회의는 11월 30일 오전 10시에 개의.
id_2010-AGENDA_1,제283회 임시회 제1차 본회의 개의 선포.
id_2010-AGENDA_2,"주요사업현지확인특별위원회 위원장으로 이상정 위원이, 간사로는 이상정 위원이 선임됨."
id_2010-AGENDA_3,주요사업 현지확인 특별위원회 운영계획안이 가결됨.
id_2011-AGENDA_1,제135회 완주군의회 임시회 제1차 본회의 개의 선포.
id_2011-AGENDA_2,제135회 완주군의회 임시회 회기는 5월 7일부터 5월 16일까지 10일간으로 가결됨.
id_2011-AGENDA_3,2007년도 제2회 추가경정 세입세출예산안 제안 설명.
id_2011-AGENDA_4,"예산결산특별위원회위원은 송지용 의원, 박웅배 의원, 박종관 의원, 홍의환 의원, 정성모 의원, 김상식 의원, 이재만 의원, 임원규 의원, 김용찬 의원으로 구성함. 예산결산특별위원회는 2007년도"
id_2011-AGENDA_5,"2006년도세입세출결산검사위원으로 대표위원 박웅배 의원, 전직 행정공무원 이종귀, 백명언, 최재경, 서원철이 선임됨."
id_2011-AGENDA_6,5월 8일부터 5월 15일까지 8일간 휴회가 가결됨.
id_2011-AGENDA_7,제125회 완주군의회 임시회 회의록 서명의원으로 홍의환 의원과 정성모 의원이 선임됨.
id_2012-AGENDA_1,제313회 음성군의회 임시회 본회의 개의 선포.
id_2012-AGENDA_2,제313회 음성군의회 임시회 회기는 7월 16일 하루로 가결됨.
id_2012-AGENDA_3,"제313회 음성군의회 임시회 회의록 서명의원으로 안해성 의원, 서효석 의원이 선출됨."
id_2012-AGENDA_4,음성군 영주귀국 사할린 한인 주민 지원에 관한 조례 일부개정조례안은 실제 복지지원금이 현실 생활비로는 부족함에 따라 특별생계비 지원근거를 마련하여 고국에서 안정된 생활이 가능하도록
id_2012-AGENDA_5,주요사업 현지확인 결과보고의 건은 채택됨.
id_2012-AGENDA_6,"음성군 지방공무원 복무 조례 일부개정조례안은 <지방공무원 복무규정>의 개정사항을 조례에 반영하고 중복조항은 삭제하며, 음성군노동조합 단체교섭안 내용을 반영하여 직원 후생복지 증진에 도모"
id_2012-AGENDA_7,음성군 군세 감면 조례 일부개정조례안은 <장애인복지법> 개정으로 2019년 7월 1일 시행하는 장애등급제 개편사항을 반영하여 조문을 정비하고자 제정되었음. 해당 안건은 가결됨.
id_2013-AGENDA_1,제148회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2013-AGENDA_2,음성군의회 제248회 임시회 회기는 9월 24일부터 9월 30일까지 7일간으로 가결됨.
id_2013-AGENDA_3,"제248회 임시회 회의록 서명의원으로는 정태완 의원, 남궁유 의원이 선출됨."
id_2013-AGENDA_4,"2013년도 제2회 세입, 세출 추가경정예산안 및 기금운용계획 변경안 제안설명."
id_2013-AGENDA_5,"예산3년도 제2회 세입, 세출 추가경정예산안 및 기금운용계획 변경안 심의를 위해 예산결산특별위원회를 구성하고자 함. 특별위원회 운영 기간은 9월 24일부터 9월 26일까지 3일간 운영됨"
id_2013-AGENDA_6,제241회 제2차 정례회 제1차 본회의인 9월 27일 하루 동안에 환경분야 현지확인 활동을 하고자 환경분야 현지확인 특별위원회를 구성하고자 함. 특별위원회 구성안은 채택됨.
id_2013-AGENDA_7,"제248회 임시회 휴회의 건은 회기 중 예산결산특별위원회를 구성하여 제2회 추가경정예산안을 심의하고 환경분야 현지확인 특별위원회를 구성, 운영하고자 하는 것으로 갈음함."
id_2014-AGENDA_1,제65회 완주군의회 정기회 제6차 본회의 개의 선포.
id_2014-AGENDA_2,"제8년도 제3회 추가경정예산안이 회기 중 제출되어 내무위원회에 회부되었고, '98년 12월 28일 홍의환 의원 외 12인으로부터 완주군 사회복지시설 운영실태에 대한 행정사무조사"
id_2014-AGENDA_3,98년도 제3회 추가경정예산안이 가결됨.
id_2014-AGENDA_4,9사무감사 결과보고서가 채택됨.
id_2014-AGENDA_5,완주군 의회 구호 채택안은 제3대 완주군의회가 출범함에 따라 군민의 대의기구로써의 위상을 정립하고 군민의 다양한 욕구를 수렴하여 군민의 기대에 부흥하기 위해 제안됨. 해당 안
id_2014-AGENDA_6,완주군 사회복지시설 운영실태에 대한 행정사무조사 발의안은 완주군에서 지원하고 있는 사회복지시설 중 일부시설에서 사회적 물의를 야기하고 있어 이에 대한 진상규명과 실태를 정확히 파악하여 운영의 적정성을
id_2014-AGENDA_7,"완주군 사회복지시설 운영실태조사 특별위원회는 이희창 의원, 안성근 의원, 소학영 의원, 함정구 의원, 이석환 의원, 홍의환 의원, 김영석 의원, 조정석 의원, 이진철 의원, 박용규 의원, 남대일"
id_2015-AGENDA_1,제117회 완주군의회 제2차 정례회 제2차 본회의 개의 선포.
id_2015-AGENDA_2,제1차 본 회의시 의결한 의사일정 중 2004년도 제2차 본회의에서 제안설명을 듣고자 하는 의사일정 변경의 건이 가결됨.
id_2015-AGENDA_3,2004년도 제2회 추가경정 세입세출예산안 제안 설명.
id_2015-AGENDA_4,2004년도공유재산관리계획변경계획승인안은 심사결과 가결됨. 완주군지역특구지정의견청취안은 심사결과 가결됨.
id_2015-AGENDA_5,"씨주산업특구의견청취안은 2005년부터 2014년도까지 추진하는 사업으로 사봉리에 25ha, 수만리에 10ha, 신월리에 5ha의 단지를 조성하고 차별화된 친환경 안전농산물로 생산하여 지역 주민들의"
id_2015-AGENDA_6,12월 16일부터 12월 20일까지 5일간 휴회가 가결됨.
id_2016-AGENDA_1,제29회 청주시의회 임시회 제1차 예산결산특별위원회 개의 선포.
id_2016-AGENDA_2,"예산결산특별위원회 위원장으로 전규식 위원이, 부위원으로 전규식 위원이 선임됨."
id_2016-AGENDA_3,"예산결산특별위원회 부위원장로는 김성택 위원이, 서제일 위원은 김성택 위원이, 최등원 위원은 김성택 위원이, 서제일 위위원은 김성택 위원이, 최등원 위원은 김성"
id_2018-AGENDA_1,제114회 완주군의회 임시회 제1차 본회의 개의 선포.
id_2018-AGENDA_2,제114회 완주군의회 임시회 회기는 9월 14일부터 9월 23일까지 10일간으로 가결됨.
id_2018-AGENDA_3,9월 21일에 군정에 관한 질문과 집행부의 답변을 통하여 군정을 정확히 파악하여 군민의 의사를 군정에 반영시키고자 군수 및 관계공무원 출석을 요구하여 가결됨.
id_2018-AGENDA_4,9월 15일부터 9월 20일까지 6일간 휴회가 가결됨. 제2차 본회의는 9월 21일 오전 10시에 개의.
id_2018-AGENDA_5,제114회 완주군의회 임시회 회의록 서명의원으로 박웅배 의원과 김순길 의원이 선임됨.
id_2020-AGENDA_1,제236회 완주군의회 임시회 제1차 본회의 개의 선포.
id_2020-AGENDA_2,제236회 완주군의회 임시회 회기는 12월 26일부터 12월 28일까지 3일간으로 가결됨.
id_2020-AGENDA_3,제236회 완주군의회 임시회 회의록 서명의원으로 윤수봉 의원과 유의식 의원이 선출됨.
id_2020-AGENDA_4,완주군 민간위탁기관 전반에 관한 행정사무조사특별위원회 중간보고 및 활동기간 연장의 건은 채택됨.
id_2020-AGENDA_5,"완주군 폐기물 매립장에 관한 행정사무조사 발의안은 주민 의견 수렴 여부 및 시설 용량과 폐기물 매립량의 적정성 등 문제점 및 실태를 파악하고자 제정되었으며, 해당 안건은 가결됨."
id_2020-AGENDA_6,완주군 민간위탁기관 전반에 관한 행정사무조사특별위원회 위원 구성 변경 및 사임의 건은 서남용 의원 외 4명의 의원으로 구성됨. 특별위원회는 현재 활동 중인 완주군 민간위탁기관 전반에
id_2020-AGENDA_7,"완주군 폐기물 매립장에 관한 행정사무조사특별위원회 위원으로 서남용 위원, 임귀현 위원, 김재천 위원, 이인숙 위원, 소완섭 위원, 이상 다섯이 선임됨."
id_2020-AGENDA_8,12월 27일 하루 본회의 휴회가 가결됨. 제2차 본회의는 12월 28일 오전 10시에 개의.
id_2021-AGENDA_1,제291회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2021-AGENDA_2,제291회 음성군의회 임시회 회기는 7월 13일 하루로 가결됨.
id_2021-AGENDA_3,"제291회 임시회 회의록 서명의원으로 이상정 의원, 조천희 부의장이 선출됨."
id_2021-AGENDA_4,음성군 여성친화도시 조성에 관한 기본 조례안은 지역정책 발전과정에 양성이 평등하게 참여하고 여성이 지역 전반에 능동적으로 참여할 수 있도록 보장하고자 제정됨. 해당 안건은 가결됨.
id_2021-AGENDA_5,음성군 안전관리민관협력위원회 구성 및 운영 조례안은 <재난 및 안전관리 기본법>에 따라 재난 및 안전관리에 관한 민관협력관계를 원활히 하기 위하여 음성군 안전관리민관협력위원회 구성
id_2021-AGENDA_6,음성군 노인복지관 설치 및 운영 조례 일부개정조례안은 <사회복지사업법 시행규칙> 개정으로 사회복지시설 위탁기간이 5년으로 확대됨에 따라 상위법령 개정사항을 반영하고자 제정되었음. 해당 안
id_2021-AGENDA_7,음성군 관광진흥 조례 일부개정조례안은 <관광진흥법 시행령>의 개정에 따라 도시지역의 경우 조례로 정하는 30% 이하의 비율만큼 휴양콘도미니엄의 미취사 객실을 허용하도록 휴양콘
id_2021-AGENDA_8,2017년도 수시분 공유재산 관리계획안 제안 설명.
id_2023-AGENDA_1,제160회 완주군의회 임시회 제1차 본회의 개의 선포.
id_2023-AGENDA_2,제160회 완주군의회 임시회 회기는 4월 6일부터 4월 8일까지 3일간으로 가결됨.
id_2023-AGENDA_3,"2009회계연도 세입 세출 결산검사위원으로 대표위원 이재만 의원, 전직 행정공무원 최재경, 최산천, 서원철, 노한 순으로 선임됨."
id_2023-AGENDA_4,4월 7일 1일간 휴회가 가결됨. 제2차 본 회의는 4월 8일 오전 10시에 개의.
id_2023-AGENDA_5,제160회 완주군의회 임시회 회의록 서명의원으로 박웅배 의원과 박종관 의원이 선임됨.
id_2024-AGENDA_1,제105회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2024-AGENDA_2,제105회 음성군의회 임시회 회기는 4월 10일부터 4월 13일까지 4일간으로 가결됨.
id_2024-AGENDA_3,"제105회 임시회 회의록 서명의원으로 진의장 의원, 김천봉 의원이 선출됨."
id_2024-AGENDA_4,"음성군공인조례개정조례안은 사무관리 규정에 따른 전자 이미지 공인 등록, 관리규정 신설 등 현실에 맞게 공인 조례를 정비하여 공인을 효율적으로 관리하고자 제정되었음. 해당 안건은 가결됨"
id_2024-AGENDA_5,2000년도 이월 및 계속비 사업 현지확인 특별위원회 구성결의안은 2000년도 예산 편성된 사업으로 완공이 되지 않고 이월된 사업과 연차적인 계속비 사업에 대하여 직접 현장을 방문하여 사업 추진상의 문제점을
id_2024-AGENDA_6,선진 시군 비교견학 결과보고서를 채택함.
id_2024-AGENDA_7,제105회 임시회 휴회의 건은 회기 중 2000년도 이월 및 계속비 사업 현지 확인 활동을 하는 의사일정으로 갈음함.
id_2025-AGENDA_1,제61회 음성군의회 정기회 제1차 본회의 개의 선포.
id_2025-AGENDA_2,제61회 음성군의회 정기회의 회기는 11월 25일부터 12월 24일까지 30일간으로 가결됨.
id_2025-AGENDA_3,제7대 음성군의회 제1차 정례회 회의록 서명의원으로 김천봉 의원과 최관식 의원이 선출됨.
id_2025-AGENDA_4,"행정사무감사 특별위원회는 최관식 의원, 김우식 의원, 이덕우 의원, 박희남 의원, 권영득 의원, 홍재선 의원, 김천봉 의원으로 구성함. 특별위원회는 12월 26일 행정사무감사 계획서 작성과 11월"
id_2025-AGENDA_5,"예산결산 특별위원회는 최관식 의원, 김우식 의원, 이덕우 의원, 강대식 의원, 박희남 의원, 권영득 의원, 홍재선 의원, 김천봉 의원으로 구성함. 특별위원회는 본 정기회 기간 중 의사"
id_2025-AGENDA_6,제61회 음성군의회 정기회 휴회의 건은 행정사무감사 특별위원회 활동을 하는 의사일정으로 갈음함. 제2차 본회의는 제2차 본회의는 11월 27일 오전 10시에 개의.
id_2026-AGENDA_1,제218회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2026-AGENDA_2,음성군의회 제218회 임시회 회기는 10월 5일부터 10월 8일까지 4일간으로 가결됨.
id_2026-AGENDA_3,"제218회 임시회 회의록 서명의원으로 조천희 의원, 손달섭 의원이 선출됨."
id_2026-AGENDA_4,우수 시군 비교견학 특별위원회는 제2차 본회의를 맞이하여 타 자치단체의 시설을 비교견학하고 우수시책을 발굴하여 음성군 현안 사업에 반영하고자 제안됨. 해당 안건은 가결됨.
id_2026-AGENDA_5,제218회 임시회 휴회의 건은 회기 중 우수 시군을 비교견학의 일정으로 갈음함.
id_2027-AGENDA_1,제102회 음성군의회 제2차 정례회 제1차 본회의 개의 선포.
id_2027-AGENDA_2,제102회 음성군의회 제2차 정례회 회기는 12월 1일부터 12월 25일까지 25일간으로 가결됨.
id_2027-AGENDA_3,제102회 제2차 정례회 회의록 서명의원으로 고재협 의원과 김성채 의원이 선출됨.
id_2027-AGENDA_4,"행정사무감사특별위원회위원은 최관식 의원, 남궁유 의원, 김우식 의원, 고재협 의원, 김성채 의원, 진의장 의원, 이준구 의원, 김천봉 의원으로 구성함. 특별위원회는 12월 2일 행정사무감사"
id_2027-AGENDA_5,"예산결산특별위원회위원은 최관식 의원, 남궁유 의원, 김우식 의원, 고재협 의원, 김성채 의원, 진의장 의원, 이준구 의원, 김천봉 의원으로 구성함. 특별위원회는 제2차 정례회 기간 중"
id_2027-AGENDA_6,농가부채 해결을 위한 건의안은 농업인들의 농가부채로 인한 연쇄도산의 위기에 처해 있는 등 농업인들에게 최소한의 희망을 주기 위한 농가부채 해결을 위한 특단의 조치를 강구해 줄 것을 건의하고자 발의됨. 해당 안건은 채택
id_2027-AGENDA_7,제102회 음성군의회 제2차 정례회 휴회의 건은 행정사무감사 특별위원회 활동을 하는 의사일정으로 갈음함.
id_2028-AGENDA_1,제263회 제2차 정례회 제2차 본회의 개의 선포.
id_2028-AGENDA_2,음성군 장애인복지관 설치 및 운영 조례안은 음성군 장애인의 지역사회 생활에 필요한 종합적인 재활서비스 제공사업과 장애인 복지증진을 위하여 <장애인복지법>에 따라 설치한 장애인복지관의 운영에 관한 사항을 규정하고자 제정
id_2028-AGENDA_3,음성군 수입증지 조례 전부개정조례안은 국민권익위원회의 공공기관의 수입증지 등 각종 수수료 납부제도 개선 권고와 행정자치부의 민원 수수료의 종이수입증지 사용 폐지 방안이 시달됨에 따라서 종이수입
id_2028-AGENDA_4,"음성군 식품진흥기금 운용 조례 일부개정조례안은 법령용어를 순화하여 정비하고, 조례에 명기된 직능단체 명칭의 변경된 사항을 반영하는 한편 식품진흥기금심의위원회의 심의로 확정된 운용"
id_2028-AGENDA_5,12월 8일부터 12월 15일까지 휴회가 가결됨. 3차 본회의는 12월 16일 오전 10시에 개의.
id_2029-AGENDA_1,제243회 완주군의회 임시회 제1차 본회의 개의 선포.
id_2029-AGENDA_2,제243회 완주군의회 임시회 회기는 7월 16일부터 7월 25일까지 10일간으로 가결됨.
id_2029-AGENDA_3,제243회 완주군의회 임시회 회의록 서명의원으로 이인숙 의원과 소완섭 의원이 선출됨.
